ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance,RiskPerformance_target,RiskPerformance_factual_pred
73.0,103.0,20.0,70.0,6.0,0.0,0.0,71.0,48.0,6.0,6.0,6.999999999999998,2.220446049250313e-16,29.0,-7.0,0.0,0.0,34.0,-7.999999999999993,1.0,-8.0,0.0,100.0,0,1.0285967e-06,0.44901842
66.0,91.99999999999999,2.0,59.0,4.0,2.0,2.0,83.0,25.0,6.0,6.0,6.0,1.0,83.0,-7.0,1.0,1.0,-8.0,-7.999999999999993,1.0,1.0,-8.0,100.0,1,0.0012658461,0.8924001
77.0,161.0,2.0,60.0,12.0,0.0,0.0,92.0,7.0,4.0,6.0,13.0,3.0,46.0,5.0,0.0,0.0,6.0,99.0,2.0,3.0,0.0,63.0,0,0.00033368214,0.5655207
67.0,190.0,17.0,83.0,29.0,1.0,0.0,93.0,74.0,6.0,5.0,28.0,2.220446049250313e-16,27.0,17.0,0.0,0.0,72.0,-7.999999999999993,7.0,1.0,3.0,67.0,1,0.002847462,0.4742337
79.0,42.0,7.0,23.0,9.0,0.0,0.0,100.0,-7.0,7.0,8.0,9.000000000000002,1.0,33.0,-7.0,0.0,0.0,5.0,26.0,1.0,2.0,0.0,50.0,1,0.011821422,0.57877433
51.0,186.0,13.0,96.0,22.0,3.0,1.0,84.0,1.9999999999999991,0.0,2.0,25.0,2.220446049250313e-16,56.0,0.0,4.0,3.0,79.0,50.0,5.0,3.0,3.0,100.0,1,2.548089e-05,0.8060405
66.0,185.0,11.0,92.0,23.0,0.0,0.0,91.0,18.0,6.0,6.0,23.0,1.0,22.0,0.0,1.0,1.0,53.0,19.0,7.0,3.0,4.0,71.0,1,0.26201436,0.7011351
81.0,150.0,4.0,58.0,29.0,0.0,0.0,100.0,-7.0,7.0,8.0,29.0,4.0,34.0,0.0,1.0,1.0,2.9999999999999964,96.0,2.0,2.0,0.0,36.0,0,0.39704832,0.1992318
79.0,281.0,22.0,150.0,6.0,0.0,0.0,100.0,-7.0,7.0,8.0,6.0,2.220446049250313e-16,33.0,0.0,0.0,0.0,81.0,-7.999999999999993,1.0,1.0,1.0,50.0,1,6.51516e-05,0.50022984
66.0,290.0,11.0,136.0,20.0,0.0,0.0,96.0,9.0,4.0,6.0,23.0,1.0,43.0,0.0,2.0,2.0,51.0,65.0,5.0,3.0,2.0,90.0,1,0.00070678827,0.5910334
78.0,299.0,2.999999999999999,102.0,26.0,0.0,0.0,90.0,14.0,6.0,6.0,31.0,1.0,35.0,0.0,0.0,0.0,7.0,38.0,2.0,2.0,0.0,45.0,0,0.004740373,0.2921452
91.0,392.0,24.0,150.0,17.0,0.0,0.0,100.0,-7.0,7.0,8.0,17.0,2.220446049250313e-16,6.0000000000000036,-7.999999999999999,0.0,0.0,7.0,-7.999999999999993,3.0,1.0,0.0,44.0,1,0.41777244,0.07386344
81.0,162.0,13.0,66.0,17.0,0.0,0.0,100.0,-7.0,7.0,8.0,17.0,2.220446049250313e-16,12.0,0.0,1.0,1.0,2.9999999999999964,-7.999999999999993,2.0,1.0,0.0,43.0,0,5.0971715e-07,0.19612011
79.0,245.0,6.0,100.0,35.0,0.0,0.0,100.0,-7.0,7.0,8.0,37.0,1.0,43.0,4.0,1.0,1.0,18.0,61.0,6.0,4.0,0.0,71.0,0,0.3361526,0.110791504
84.0,255.0,29.0,104.0,13.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,2.220446049250313e-16,53.0,0.0,0.0,0.0,21.0,-7.999999999999993,1.0,1.0,-8.0,67.0,0,0.0002159266,0.40912846
83.0,267.0,17.0,106.0,13.0,0.0,0.0,92.0,53.0,6.0,6.0,13.0,2.220446049250313e-16,15.0,-7.0,0.0,0.0,48.0,-7.999999999999993,4.0,1.0,0.0,83.0,0,1.0474265e-05,0.383092
84.0,317.0,2.0,132.0,26.0,0.0,0.0,100.0,-7.0,7.0,8.0,27.0,2.0,22.0,0.0,0.0,0.0,16.0,51.0,5.0,3.0,1.0,57.0,0,8.269569e-10,0.06921049
65.0,390.0,8.0,90.0,10.0,3.0,2.0,71.0,27.0,6.0,2.0,14.0,1.0,29.0,0.0,4.0,4.0,43.0,-7.999999999999993,2.0,1.0,0.0,75.0,0,0.0019118302,0.6568397
