Dataset,Method,seed,Affected count,Successful recourse,Coverage,Favorable rate,SWD,WD,Runtime (s),Mean value,Std value,LSC MSE,FSD violations,Changed count,Invalid changed count,Valid changed rate,Out-of-range count,Non-integer count
Cardio,DiCE,40,47,47,1.0,1.0,0.2609556374556541,0.1006895899772644,5.358147100001588,72.07722393617327,10.647244695837244,0.5705165934639546,0,47,46,0.0212765957446808,0,46
Cardio,DiCE,41,47,47,1.0,1.0,0.2298167186351931,0.1145169213414192,5.329573700000765,74.57569570006864,8.75251190495989,0.7618746359743309,0,47,47,0.0,0,47
Cardio,DiCE,42,47,47,1.0,1.0,0.1829683222549872,0.0918751135468483,5.349450300000171,73.11868909651855,8.75251190495989,0.6215800077924439,0,47,47,0.0,0,47
Cardio,DiCE,43,47,47,1.0,1.0,0.2382423259649016,0.1030921265482902,5.351134900000034,75.43304672767118,8.822897386175015,0.6548440725665056,18,47,45,0.0425531914893616,0,45
Cardio,DiCE,44,47,47,1.0,1.0,0.4260920868614872,0.1125504449009895,5.330076199999894,75.22461806437312,11.154948912458426,0.6960468101558965,4,47,46,0.0212765957446808,0,46
HELOC,DiCE,40,52,52,1.0,1.0,0.4571240648756093,0.0516490191221237,9.646119000000908,100.8362103494482,9.501952417075488,2.1448364409570786,0,52,52,0.0,0,52
HELOC,DiCE,41,52,52,1.0,1.0,0.51980371429405,0.056376677006483,9.236570699998992,98.14875452446157,9.730164118612294,1.2300640407937622,45,52,52,0.0,0,52
HELOC,DiCE,42,52,52,1.0,1.0,0.595893354216043,0.0496690049767494,9.10308140000052,98.64735118404028,9.728172978990475,1.1097893119852338,38,52,52,0.0,0,52
HELOC,DiCE,43,52,52,1.0,1.0,0.7217201562253736,0.0481551215052604,9.191941000000952,95.17630190965478,9.916796287593751,1.7104409907422984,45,52,52,0.0,0,52
HELOC,DiCE,44,52,52,1.0,1.0,0.6523871036217335,0.0518762394785881,9.139120200001344,92.33477348409473,9.457843426229173,2.0307634350594204,11,52,52,0.0,0,52
Market,DiCE,40,90,90,1.0,1.0,1.0465765000845255,0.2419348955154419,16.965879499999573,54.31234074623848,169727.65485064598,1.8494796798325048,0,90,90,0.0,0,90
Market,DiCE,41,90,90,1.0,1.0,0.6932669994444913,0.2710961997509002,17.15410449999945,52.86748863478164,146574.18485823393,1.8478645561399591,0,90,90,0.0,0,90
Market,DiCE,42,90,90,1.0,1.0,0.5925492895122566,0.2764100134372711,17.469572899999548,53.85182251414796,137358.62359512868,1.4907347142149143,0,90,90,0.0,0,90
Market,DiCE,43,90,90,1.0,1.0,0.7253446318918637,0.2971164584159851,17.007383399999526,52.57788766191112,142836.35389530446,1.2922928460090364,2,90,90,0.0,0,90
Market,DiCE,44,90,90,1.0,1.0,0.8248021379811266,0.2906647026538849,16.792141100000663,53.7337091981067,160791.65367627816,1.4223870376365648,0,90,90,0.0,0,90
