Dataset,Method,seed,SWD,WD
Cardio,DCE,40,0.200722,0.304139
Cardio,DCE,41,0.159251,0.488598
Cardio,DCE,42,0.115351,0.400591
Cardio,DCE,43,0.132524,0.009117
Cardio,DCE,44,0.184887,0.046487
Cardio,CDCE-Mean,40,0.074166,0.002379
Cardio,CDCE-Mean,41,0.069772,0.003984
Cardio,CDCE-Mean,42,0.080823,0.009738
Cardio,CDCE-Mean,43,0.076783,0.001304
Cardio,CDCE-Mean,44,0.108976,0.030541
Cardio,CDCE-Std,40,0.073004,0.002172
Cardio,CDCE-Std,41,0.069319,0.003944
Cardio,CDCE-Std,42,0.079716,0.009275
Cardio,CDCE-Std,43,0.071434,0.001204
Cardio,CDCE-Std,44,0.111936,0.03076
Cardio,CDCE-LSC,40,0.12827,0.063343
Cardio,CDCE-LSC,41,0.101627,0.065981
Cardio,CDCE-LSC,42,0.09202,0.066619
Cardio,CDCE-LSC,43,0.080788,0.063842
Cardio,CDCE-LSC,44,0.089978,0.065404
Cardio,CDCE-FSD,40,0.119736,0.070554
Cardio,CDCE-FSD,41,0.127194,0.069816
Cardio,CDCE-FSD,42,0.10499,0.069534
Cardio,CDCE-FSD,43,0.083935,0.073125
Cardio,CDCE-FSD,44,0.120231,0.069179
HELOC,DCE,40,0.144136,0.048623
HELOC,DCE,41,0.164531,0.048729
HELOC,DCE,42,0.144029,0.046996
HELOC,DCE,43,0.154969,0.052001
HELOC,DCE,44,0.141088,0.049195
HELOC,CDCE-Mean,40,0.090753,0.023559
HELOC,CDCE-Mean,41,0.093717,0.024098
HELOC,CDCE-Mean,42,0.085533,0.023571
HELOC,CDCE-Mean,43,0.097351,0.023928
HELOC,CDCE-Mean,44,0.093689,0.027771
HELOC,CDCE-Std,40,0.090212,0.026386
HELOC,CDCE-Std,41,0.084453,0.02364
HELOC,CDCE-Std,42,0.085411,0.024466
HELOC,CDCE-Std,43,0.082385,0.02274
HELOC,CDCE-Std,44,0.088244,0.023234
HELOC,CDCE-LSC,40,0.09501,0.024053
HELOC,CDCE-LSC,41,0.091073,0.023672
HELOC,CDCE-LSC,42,0.089504,0.024334
HELOC,CDCE-LSC,43,0.085713,0.0285
HELOC,CDCE-LSC,44,0.091079,0.024795
HELOC,CDCE-FSD,40,0.097373,0.023223
HELOC,CDCE-FSD,41,0.10446,0.023689
HELOC,CDCE-FSD,42,0.087078,0.023813
HELOC,CDCE-FSD,43,0.088475,0.024057
HELOC,CDCE-FSD,44,0.094128,0.026765
Market,DCE,40,0.180725,0.07522
Market,DCE,41,0.146664,0.07534
Market,DCE,42,0.170027,0.075826
Market,DCE,43,0.131257,0.073121
Market,DCE,44,0.154892,0.073575
Market,CDCE-Mean,40,0.177806,0.073694
Market,CDCE-Mean,41,0.138459,0.073958
Market,CDCE-Mean,42,0.166641,0.068592
Market,CDCE-Mean,43,0.100805,0.069955
Market,CDCE-Mean,44,0.151481,0.071809
Market,CDCE-Std,40,0.17662,0.07199
Market,CDCE-Std,41,0.139255,0.066767
Market,CDCE-Std,42,0.165068,0.074553
Market,CDCE-Std,43,0.126265,0.073161
Market,CDCE-Std,44,0.158067,0.076114
Market,CDCE-LSC,40,0.159544,0.064509
Market,CDCE-LSC,41,0.142593,0.072535
Market,CDCE-LSC,42,0.16951,0.065612
Market,CDCE-LSC,43,0.135152,0.071975
Market,CDCE-LSC,44,0.169032,0.064625
Market,CDCE-FSD,40,0.163763,0.067657
Market,CDCE-FSD,41,0.143928,0.070787
Market,CDCE-FSD,42,0.176201,0.072568
Market,CDCE-FSD,43,0.131875,0.075132
Market,CDCE-FSD,44,0.162572,0.069299
Cardio,GLOBE-CE,40,0.041199959630644045,0.1760406494140625
Cardio,GLOBE-CE,41,0.04633112386691854,0.17618322372436523
Cardio,GLOBE-CE,42,0.05289411193814424,0.17608332633972168
Cardio,GLOBE-CE,43,0.03927236893266152,0.17604824900627136
Cardio,GLOBE-CE,44,0.056928108549804075,0.17611436545848846
HELOC,GLOBE-CE,40,0.2543528224265797,0.15974020957946777
HELOC,GLOBE-CE,41,0.18127445516361065,0.1616666316986084
HELOC,GLOBE-CE,42,0.31610014908517653,0.16213461756706238
HELOC,GLOBE-CE,43,0.254904106682964,0.16229534149169922
HELOC,GLOBE-CE,44,0.1873691718325636,0.16197296977043152
Market,GLOBE-CE,40,1.0037958700451939,0.09288541227579117
Market,GLOBE-CE,41,0.5641535983926913,0.09779641032218933
Market,GLOBE-CE,42,0.5617974450346286,0.0985676497220993
Market,GLOBE-CE,43,0.9656448436290668,0.09720496833324432
Market,GLOBE-CE,44,0.7690709862827918,0.09390942752361298
