Dataset,Method,SWD_mean,SWD_std,WD_mean,WD_std
Cardio,CDCE-FSD,0.11121719999999999,0.017263930163783678,0.07044160000000001,0.0015829198653121988
Cardio,CDCE-LSC,0.0985366,0.018195838529729808,0.0650378,0.001398767922137194
Cardio,CDCE-Mean,0.082104,0.015549505249364043,0.0095892,0.012155758458442648
Cardio,CDCE-Std,0.08108180000000001,0.017681497594943703,0.009470999999999999,0.012302706572132817
Cardio,DCE,0.158547,0.035412260539253906,0.2497864,0.21329534625678076
Cardio,GLOBE-CE,0.047325134583634486,0.007526345027786579,0.17609396278858186,5.794174539218163e-05
HELOC,CDCE-FSD,0.09430279999999999,0.007049581242882442,0.024309400000000002,0.0014058139279435236
HELOC,CDCE-LSC,0.0904758,0.0033506763048674238,0.025070799999999997,0.001960287657462547
HELOC,CDCE-Mean,0.0922086,0.004404359749157646,0.0245854,0.00179584835105863
HELOC,CDCE-Std,0.086141,0.0031018313139176378,0.024093200000000002,0.0014292197871566142
HELOC,DCE,0.1497506,0.009810619261799951,0.0491088,0.0018177200554540835
HELOC,GLOBE-CE,0.2388001410381789,0.05574689224676985,0.16156195402145385,0.0010445626946108985
Market,CDCE-FSD,0.1556678,0.017597817895977898,0.0710886,0.002898586603846777
Market,CDCE-LSC,0.15516619999999998,0.015619088488128872,0.0678512,0.004047727535296811
Market,CDCE-Mean,0.1470384,0.029840313383072914,0.0716016,0.0023314564761110147
Market,CDCE-Std,0.153055,0.020204489835182683,0.072517,0.003565062061170878
Market,DCE,0.15671300000000002,0.019404542754210934,0.0746164,0.0011907767632936073
Market,GLOBE-CE,0.7728925486768745,0.21131581076369052,0.09607277363538742,0.002515776907138649
