Dataset,Method,seed,Affected count,Successful recourse,Coverage,Favorable rate,SWD,WD,Runtime (s),Mean value,Std value,LSC MSE,FSD violations,Changed count,Invalid changed count,Valid changed rate,Out-of-range count,Non-integer count
Cardio,GLOBE-CE,40,47,47,1.0,1.0,0.041199959630644,0.1760406494140625,0.999853199999052,74.29795363577946,15.303874883313332,,0,47,47,0.0,47,47
Cardio,GLOBE-CE,41,47,47,1.0,1.0,0.0463311238669185,0.1761832237243652,0.889594100000977,74.8474073268979,16.883538321196482,,0,47,47,0.0,47,47
Cardio,GLOBE-CE,42,47,47,1.0,1.0,0.0528941119381442,0.1760833263397216,0.9443568000006052,75.1023965657244,14.67279136784285,,48,47,47,0.0,47,47
Cardio,GLOBE-CE,43,47,47,1.0,1.0,0.0392723689326615,0.1760482490062713,0.9899122000006172,75.66523769898092,13.819539687033789,,67,47,47,0.0,47,47
Cardio,GLOBE-CE,44,47,47,1.0,1.0,0.056928108549804,0.1761143654584884,0.9311578999986524,74.87528043352596,17.264084866579708,,0,47,47,0.0,47,47
HELOC,GLOBE-CE,40,52,52,1.0,1.0,0.2543528224265797,0.1597402095794677,0.9418614999995044,90.5445993576238,9.922931664884267,0.4719098912361235,66,52,52,0.0,51,52
HELOC,GLOBE-CE,41,52,52,1.0,1.0,0.1812744551636106,0.1616666316986084,1.0074191999992763,86.63150032088431,10.16567560207525,0.434765190746566,77,52,52,0.0,51,52
HELOC,GLOBE-CE,42,52,52,1.0,1.0,0.3161001490851765,0.1621346175670623,1.0078056999991531,93.0004715891674,8.380543597122996,0.4526383280644158,95,52,52,0.0,44,52
HELOC,GLOBE-CE,43,52,52,1.0,1.0,0.254904106682964,0.1622953414916992,0.9840779000005568,82.54822491496049,8.671547390418318,0.6264482715298182,54,52,52,0.0,44,52
HELOC,GLOBE-CE,44,52,52,1.0,1.0,0.1873691718325636,0.1619729697704315,1.0175601999999344,83.71035307951381,9.536267901439237,0.6022913401801254,0,52,52,0.0,44,52
Market,GLOBE-CE,40,90,90,1.0,1.0,1.003795870045194,0.0928854122757911,0.9211429999995744,29.421562384851363,31299.8750651936,3.3659298894059604,0,90,90,0.0,90,90
Market,GLOBE-CE,41,90,90,1.0,1.0,0.5641535983926913,0.0977964103221893,1.0164604000001418,31.804559408507444,20211.010502628455,0.879698692603233,0,90,90,0.0,89,90
Market,GLOBE-CE,42,90,90,1.0,1.0,0.5617974450346286,0.0985676497220993,1.085130899999058,31.974320078366382,25444.002320670977,2.224025048449193,0,90,90,0.0,90,90
Market,GLOBE-CE,43,90,90,1.0,1.0,0.9656448436290668,0.0972049683332443,0.9315581999999268,39.464196685592654,23168.64632070327,0.866597760423028,91,90,90,0.0,90,90
Market,GLOBE-CE,44,90,90,1.0,1.0,0.7690709862827918,0.0939094275236129,0.9426165999993829,27.00485511578076,23175.178203382275,1.1226942294101263,0,90,90,0.0,90,90
