Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Response_target,Response_factual_pred
1972.0,3.0,0.0,27213.0,1.0,0.0,31.0,19.000000000000004,19.0,3.0,26.0,9.999999999999996,9.0,3.0,3.0,2.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.1100711,0.98767674
1970.0,1.0,1.0,63684.0,0.0,1.0,114.0,61.0,575.0,80.0,428.0,208.0,93.0,80.0,3.0,8.0,4.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.051411483,1.6608588e-13
1986.0,1.0,1.0,71952.0,1.0,0.0,158.0,93.0,656.0,80.0,455.0,52.0,107.0,93.0,2.0,8.0,4.0,8.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.5614119,0.9784895
1954.0,1.0,1.0,36807.0,1.0,1.0,137.0,88.0,4.0,2.0,5.0,0.0,-3.552713678800501e-15,5.0,1.0,0.9999999999999996,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.29512712,0.0002647003
1973.0,2.0,1.0,38961.0,1.0,0.0,492.0,60.0,19.0,7.0,19.0,0.0,1.0000000000000036,24.0,1.0,2.0,0.9999999999999998,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.33428127,0.034971043
1951.0,0.0,1.0,26997.0,0.0,0.0,94.0,89.0,7.0,23.0,78.0,133.0,49.0,144.0,2.0,4.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.74154717,6.1636723e-07
1979.0,1.0,1.0,30545.0,1.0,0.0,75.0,71.0,4.0,12.0,15.0,19.0,7.0,12.0,2.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.99663615,0.02534772
1952.0,1.0,0.0,47139.0,1.0,1.0,553.0,2.0,46.0,0.0,12.0,0.0,2.0,23.0,2.0,2.0,0.9999999999999998,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.026390517,1.5309834e-05
1968.0,2.0,0.0,27071.0,1.0,0.0,599.0,90.0,8.0,3.0,19.0,0.0,2.0,3.0,2.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.85672253,0.0058306106
1944.0,1.0,1.0,80589.0,0.0,0.0,512.0,25.0,507.0,93.0,520.0,242.0,40.0,26.0,1.0,5.0,10.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.08563731,7.647945e-06
1988.0,1.0,1.0,24645.0,1.0,0.0,90.0,16.0,5.0,3.0,4.0,4.0,1.0000000000000036,0.0,1.0,0.9999999999999996,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.88213366,0.20232904
1960.0,2.0,1.0,89058.0,0.0,0.0,124.99999999999997,18.000000000000004,454.0,194.0,106.0,31.0,22.0,43.0,1.0,5.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.014549029,7.416177e-08
1972.0,1.0,1.0,30023.0,1.0,0.0,569.0,28.0,11.0,0.0,16.0,6.9999999999999964,6.0,21.0,1.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.96578,0.030788893
1960.0,3.0,1.0,49154.0,1.0,1.0,438.0,69.0,206.0,10.0,67.0,30.0,27.0,71.0,6.0,4.0,0.9999999999999998,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.34444615,0.0070268475
1953.0,1.0,0.0,73892.0,0.0,0.0,447.0,40.0,703.0,102.0,601.0,0.0,58.0,43.0,1.0,3.0,11.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.90700996,0.016105482
1964.0,1.0,0.0,45906.0,0.0,1.0,267.0,20.0,305.0,3.0,27.0,4.0,3.0,144.0,2.0,5.0,4.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.037743453,0.117713764
1962.0,2.0,0.0,81975.0,0.0,1.0,153.0,2.0,983.0,76.0,184.0,180.0,138.0,27.0,1.0,6.0,3.0,4.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.6549314,0.65371263
1970.0,2.0,1.0,51381.0,0.0,1.0,233.0,39.0,187.0,5.0,65.0,26.0,20.0,13.999999999999996,2.0,4.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9491323,8.084351e-10
1947.0,1.0,0.0,77457.0,0.0,0.0,552.0,85.0,675.0,11.0,400.0,15.0,45.0,11.0,1.0,2.0,5.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.50558436,1.4579329e-08
1970.0,2.0,0.0,75345.0,0.0,0.0,178.0,16.0,918.0,57.0,842.0,99.0,38.0,133.0,1.0,5.0,8.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.25613117,1.0
1949.0,2.0,1.0,81698.0,0.0,0.0,441.0,4.0,179.0,28.0,520.0,111.0,123.0,47.0,1.0,3.0,8.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.21036416,9.118944e-11
1982.0,1.0,1.0,22448.000000000004,1.0,0.0,545.0,86.0,3.0,1.0,8.0,23.0,2.0,18.0,3.0,2.0,0.9999999999999998,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.048196215,0.0036278423
1955.0,2.0,1.0,72635.0,0.0,0.0,294.0,54.0,390.0,22.0,323.0,104.0,35.0,107.0,1.0,6.0,8.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.5402118,0.0709367
1973.0,2.0,0.0,31163.0,1.0,0.0,534.0,54.0,2.0,3.0,10.0,11.0,2.0,10.0,1.0,0.9999999999999996,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.055718113,0.01267774
1975.0,1.0,0.0,70300.0,1.0,0.0,332.0,89.0,1045.0,61.0,338.0,60.0,46.0,46.0,3.0,5.0,5.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.40532738,3.2024466e-06
1956.0,1.0,1.0,50387.0,0.0,2.0,379.0,91.0,369.0,9.0,87.0,12.0,14.0,34.0,3.0,6.0,2.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5629901,9.590807e-19
1944.0,1.0,1.0,55956.0,0.0,0.0,583.0,22.0,760.0,38.0,104.0,50.0,9.0,38.0,2.0,7.0,3.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.34714326,4.8070387e-08
1954.0,2.0,1.0,66991.0,0.0,0.0,43.0,1.0,496.0,36.0,460.0,189.0,60.0,12.0,3.0,4.0,8.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.09430204,0.075181164
1971.0,2.0,0.0,33316.0,1.0,1.0,410.0,34.0,79.0,1.0,31.0,4.0,4.0,12.0,3.0,2.0,0.9999999999999998,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.9238462,0.002802162
